station,temperature_c,wind_speed_kmh,wind_gust_kmh,pressure_hpa,pressure_change_3h,visibility_m,humidity_pct,wind_chill_c,blizzard_event
Bharati,-20.42924380368353,32.91876443296025,37.32120389007692,953.4923699485446,-2.9989857022971664,4770.253151762062,50.99913555134752,-22.733557313990747,0
Bharati,-40.59976159360743,44.66014639833564,48.762461077243344,977.6089884486626,0.6183772282698378,10645.886440086686,77.04109845243093,-43.725971841490924,0
Dakshin_Gangotri,-13.743232062903141,16.49009842731584,29.20349459558271,1035.7534011171815,2.009239459858103,198.49796126432375,69.94805951725019,-14.89753895281525,1
Bharati,-10.891529254131791,26.53983048079745,33.78862324465964,997.7180500479501,-4.924585978236652,20.0,51.87125415912292,-12.749317387787613,1
Dakshin_Gangotri,-54.265527829807546,10.69443807329199,16.89031667802913,987.4559954751015,3.3677408123651156,9283.740403015874,76.59409212549306,-55.01413849493799,0
Dakshin_Gangotri,-44.53269260293477,42.64944849688901,74.60631858763772,955.5015281894689,1.1893604801658997,9851.735743415562,86.43349098135397,-47.518153997717,0
Bharati,-23.08239395249072,17.948678669997918,17.948678669997918,937.6002940180254,-0.6118946956644323,20.0,92.96595695150185,-24.338801459390574,1
Maitri,-29.743638885153732,48.0232701451004,83.25391441788051,980.7769937118104,0.41971355408883043,5502.393137844591,38.69564488212069,-33.10526779531076,0
Bharati,-25.25201736256433,48.848006543957815,66.73677037754871,978.012610216895,2.8287696115253422,12120.7256205816,64.03649513765379,-28.67137782064138,0
Maitri,-37.7956589136037,27.889615711703478,52.75199854188274,974.6438495889746,9.264465846921992,1687.8244805646846,54.43834577897832,-39.74793201342295,1
Maitri,-11.80903037705757,27.142719039513306,50.826047212815624,972.3913266470108,2.4397856106878058,6404.206417445566,65.21527474102695,-13.709020709823502,0
Bharati,-13.333120968565776,13.254408656362614,34.424000429022975,965.0329195912041,3.242329955246542,8031.849135610332,95.82828947837314,-14.26092957451116,0
Bharati,-24.00953953658176,30.718134859260253,62.33645285069211,960.4471574592916,0.7741073226528232,289.4737245963288,64.09171952236173,-26.159808976729977,1
Maitri,-8.091381895479508,44.470440788469126,48.64627390370131,1007.7901559645633,7.60660518332989,3744.632611798364,67.87438841545932,-11.204312750672347,0
Dakshin_Gangotri,-17.987359866219315,34.97102551629941,48.407241738515324,962.2694340696926,-5.863973933496831,20.0,62.56391078027171,-20.435331652360272,1
Bharati,-37.889386943248574,57.38272974635843,63.85426062135095,974.4770388246328,-6.949607225872665,5341.873011543208,99.3889881738983,-41.906178025493666,0
Dakshin_Gangotri,-19.46873823876252,24.950383982761235,24.950383982761235,979.2184378856766,0.6121309186103625,2836.026509395875,40.50352353286107,-21.215265117555806,0
Bharati,-39.383239012434984,24.933266267964484,33.320855082382245,994.1256067006259,2.6405687394278763,6830.742818344892,66.65450115747173,-41.1285676511925,0
Bharati,-11.823245480390913,18.623616898582643,52.349094680820855,962.9633931760725,-10.298462406047785,8539.300850668711,62.01591482868396,-13.126898663291698,0
Maitri,-25.748888664793792,75.64716425261585,88.9124972784387,999.5613604300055,-0.01374251140970557,11554.515200846214,49.18242814743559,-31.0441901624769,0
Bharati,-27.77293545317891,13.182513846386648,48.01767097972225,968.4066727689344,-0.7219590345532195,15329.123051139006,91.5332729918421,-28.695711422425976,0
Bharati,-35.213943166059124,42.910020474056196,78.76829210848824,976.7620566148717,2.976632754039957,6830.799402642404,47.95344216192463,-38.21764459924306,0
Bharati,-6.661879919889547,44.91989272676968,89.8711963637305,1012.8619717131965,1.7149421652821106,4733.719385897147,68.10829876937868,-9.806272410763423,0
Maitri,-27.31794223103203,43.98602069991597,78.04095089089903,960.6154457380267,-7.232887419468017,4501.3394184787285,73.81902233344202,-30.396963680026147,0
Dakshin_Gangotri,-31.424917332446608,19.482241631234828,58.0635602845729,994.4180942488135,-4.320228966222964,2140.5347250841332,63.736179442413885,-32.78867424663304,1
Maitri,-30.282003257323446,14.551608648058572,32.803284058615816,1000.092217361191,-3.2271586881479646,7792.618747447953,48.98604283878513,-31.300615862687547,0
Dakshin_Gangotri,-17.01536221669977,27.88150969450307,45.1647920313698,986.1979560448065,2.9557805437415516,4020.5029788061215,72.47609958788514,-18.967067895314987,0
Dakshin_Gangotri,-19.518339034538826,39.9147152960591,57.8631089082126,977.6493835562966,1.4985849280608343,8072.208976424171,63.57252389819056,-22.312369105262963,0
Maitri,-18.809010826060174,21.853789646622126,36.85441169272576,1022.5140807016434,-2.4828987280863752,2267.893905461336,87.1297281910476,-20.338776101323724,0
Bharati,-18.537684954881758,25.8944440130155,42.391075364690934,979.7230921116129,0.5781889438731783,4135.693082468475,82.74167022276404,-20.350296035792844,0
Maitri,7.124714013056916,22.05757814080436,44.57940379233854,984.0815500006561,-4.232026291066412,7729.413668604525,100.0,5.580683543200611,0
Bharati,-31.096225245769233,31.77989666903288,42.1217181160675,973.2694645224494,8.198554802456082,5500.37891429087,76.6496435757823,-33.320818012601535,0
Maitri,-32.68364093607306,30.734569639061853,31.958327260974748,983.0216371475944,2.2974296026281644,20.0,83.83876662706008,-34.83506081080739,1
Dakshin_Gangotri,-37.20659092371817,62.38314423763841,81.01933221336367,999.282359574129,3.1447079057710385,5939.228725769614,69.6159768816207,-41.57341102035286,0
Maitri,-15.760308661367565,40.34581455984249,48.41776621659432,974.4938931817765,5.507244137541604,2792.9050768469338,100.0,-18.58451568055654,1
Maitri,-8.065415609186626,14.978477980251832,24.085743005538447,937.8293907747255,4.064972772872267,10725.71806605863,75.15403673034783,-9.113909067804254,0
Maitri,-26.709211864823125,15.665149728352558,29.237617425210843,990.2714036563364,0.12610524528620712,9884.44455160619,73.46168802609714,-27.805772345807803,0
Bharati,-37.60234715443792,43.28408480260694,54.56265260726819,958.4333111778237,-0.7398598609394897,20.0,83.10866726664307,-40.63223309062041,1
Dakshin_Gangotri,-37.3672182353686,30.568050373271635,56.668475298438565,994.8375288391835,5.15313766071465,9205.9955820106,65.32561686916623,-39.50698176149761,0
Dakshin_Gangotri,-15.241108182629484,73.43124887031966,86.76383347508623,979.9735053654659,0.10614112914795198,7557.1983450355065,67.50574361942877,-20.38129560355186,0
Dakshin_Gangotri,-13.851187431948366,73.3278135235773,99.93230990234449,998.8621820662303,-2.996071138041386,63.82879128195509,83.09787759186703,-18.984134378598778,1
Maitri,-16.852685975422077,18.56531707394757,35.625479563369105,961.0331246416558,7.86652990360851,9513.293810524838,85.9835077029245,-18.152258170598408,0
Dakshin_Gangotri,-34.98264560933042,35.237705568173055,49.35241554881635,969.2955759233134,-3.743711537945255,880.4616203711348,83.9559856807587,-37.44928499910253,1
Bharati,-21.517580153999205,15.775277087359708,32.35748195022765,973.199279480133,-6.93882030021344,10581.512458892728,73.79725885749,-22.621849550114383,0
Maitri,-23.249712862889076,42.92560767079391,45.00930903058657,950.3543559476581,3.97110543574726,3415.246541882689,79.05641026679761,-26.25450539984465,0
Dakshin_Gangotri,-21.719671049064807,66.768129925463,85.14890182016995,1002.2284041743076,-2.924985562570714,20.0,89.40633860224928,-26.393440143847215,1
Maitri,-11.928568330777152,32.81469724824152,56.306590211391125,947.4915416777734,1.7403867366533643,14482.991616262483,58.59036750944779,-14.225597138154058,0
Maitri,-21.646066768379765,24.494443264713524,49.40294753317578,1001.9462723595635,7.2688433447553535,20.0,75.02089191353964,-23.360677796909712,1
Maitri,-14.816296553921577,37.03890440486488,38.5171635510862,988.4879695734732,-5.499385820819492,2775.903511645412,31.32898792325524,-17.409019862262117,0
Maitri,-23.986313957666628,47.28518006554926,47.28518006554926,976.0226533531429,-0.16366149476504444,3560.3183692035454,86.10352920793879,-27.296276562255077,0
Bharati,-20.66320901965024,47.441224467679696,57.07303921687133,986.9023229726956,5.933636892127436,4177.326553895136,63.26080338103068,-23.984094732387817,0
Dakshin_Gangotri,-15.530676612421894,24.63656379812273,53.48318737805151,986.3546657666064,2.7275456935923232,8795.125501905579,63.65911861178149,-17.255236078290487,0
Dakshin_Gangotri,-46.857337297834995,21.56468020217206,38.774434137974524,971.9914417684396,-0.7192834937839172,6231.647742084195,73.17151242411046,-48.36686491198704,0
Bharati,-29.79506824535952,34.299006615184446,41.55205421770242,985.962996287196,9.557518174630417,10017.211510131552,84.28656487328252,-32.19599870842243,0
Bharati,-32.055589814391936,25.496622332630654,25.967227663326852,994.6236665703401,-0.38126976934143897,7487.668708474592,100.0,-33.84035337767608,0
Maitri,-34.58316772365013,54.20994529097382,62.37005224643766,961.1063460035797,1.5874981141141267,20.0,51.70447391825758,-38.3778638940183,1
Maitri,-29.127133768400256,25.33834069041685,32.82282940528607,986.9238990467915,6.597417983640589,8199.428876411479,62.25733413180941,-30.900817616729434,0
Bharati,-2.5758803314840613,31.625145230633446,55.981322417086005,927.4734980750547,3.9234542855464234,6935.226089854458,78.43028223911651,-4.789640497628403,0
Maitri,-37.98746673539865,36.58205879813432,61.707501292004764,941.4080020019987,5.286878400889906,3501.4853180243417,64.09912236916021,-40.54821085126805,0
Dakshin_Gangotri,-10.475824681127788,13.460974734220708,17.961956012311344,991.2905330311286,-3.5981579872650538,14294.901330081222,87.53907210684923,-11.418092912523237,0
Bharati,-50.24304657423707,22.536967692174116,45.06862830799011,971.643415363116,4.9126991287504405,8433.39245394754,72.48306572821186,-51.82063431268926,0
Bharati,-30.023275449786624,71.83284784265155,93.34041682940583,962.9312365501296,0.6783683638958815,9766.906972311222,88.27965599633696,-35.05157479877223,0
Dakshin_Gangotri,-22.558704023424916,46.30753837699023,49.51073022936091,978.939490528861,-2.983115657773777,9906.291850253026,71.27264269258916,-25.80023170981423,0
Dakshin_Gangotri,-16.20666502961083,25.162315093410626,39.32412810513161,972.0809669025155,0.8877769737585203,4319.785947621332,83.17326142969463,-17.968027086149572,0
Bharati,-14.331601303107176,43.012252038572,61.42045192014617,960.2278440437403,0.7609851526275969,8533.540572420092,60.64306059089191,-17.342458945807216,0
Maitri,-13.099791472001122,53.772504737138654,70.40485892431224,947.2190197613339,7.472354010092825,7264.107614907745,100.0,-16.86386680360083,0
Dakshin_Gangotri,-30.230876083726564,27.214604715118906,27.214604715118906,940.6368505853287,1.5251828225128072,3771.898328151194,49.5051077236724,-32.135898413784886,0
Dakshin_Gangotri,-31.935276889968506,45.22723051047516,61.53905505564134,994.7758477051971,-3.1232191775364524,1113.6684011014231,64.38353778978936,-35.101183025701765,1
Maitri,-12.130361781142692,42.11530329685187,63.47795221116863,971.5500089504536,-4.0457104474687835,6096.926390444035,53.69423922385853,-15.078433011922323,0
Dakshin_Gangotri,-27.869564873224224,15.921229868731912,46.71717155740715,999.3909862786984,-0.1895898031651315,8347.717395426136,87.00447677814734,-28.984050964035458,0
Bharati,-44.13529485006883,27.291988785156395,35.60407678368491,971.3469967079387,-5.385462923038279,6064.9717334543175,83.0941586498154,-46.04573406502978,0
Bharati,-41.999308210052206,63.19315693436358,72.73862536907465,987.0993990500675,-2.861423685942412,5270.754612140714,56.72718143102384,-46.42282919545766,0
Dakshin_Gangotri,-38.79178429002417,70.82288346729229,83.73421580856618,977.4919111753094,-0.9767654053243416,6109.431959573706,89.95670744694267,-43.74938613273463,0
Maitri,-17.54258883919354,46.494321040613016,64.40648025378191,980.8889345771819,-1.687541415657502,4852.083001558463,64.52186755254135,-20.797191312036453,0
Dakshin_Gangotri,-22.86361395894152,22.135358389081574,38.105536065310126,981.8607362122194,2.9076304094796983,12197.277127223082,80.80978036107335,-24.41308904617723,0
Bharati,-14.642719688983476,7.7367985745932915,28.779878454264196,971.0858648633704,-2.951310469622215,7080.963305036847,84.33192690980685,-15.184295589205007,0
Bharati,-31.408789695048014,20.56124430116198,24.30937887901056,955.4075697424106,-9.879924978547802,4054.1493533976513,71.32693885981037,-32.848076796129355,0
Bharati,-22.621904633849287,14.716214401718608,33.6847512946841,995.3226349114741,-6.74309163732612,20.0,88.64780001967934,-23.65203964196959,1
Dakshin_Gangotri,-15.616144090489948,65.48967516310768,73.06752136085113,1011.8709358438412,-0.07127254200476633,5211.165715952893,72.83837304557036,-20.200421351907487,0
Bharati,-29.640198095803576,10.537816909267635,24.10447788871185,1013.1843081994805,-2.3472130800270277,3692.7043343044425,80.08103472680797,-30.37784527945231,0
Maitri,-18.14837143663883,16.169995566490815,48.25013183905287,968.9346017786404,-4.946686927832388,3544.1562098469517,70.8881258047368,-19.280271126293187,0
Dakshin_Gangotri,-34.928889115999766,33.946283611894465,34.963855524234376,965.3365848405865,7.833805316357437,9770.445194816119,46.976662621569574,-37.30512896883238,0
Dakshin_Gangotri,-30.445807698476077,30.45917237137403,42.664497686980326,968.9143510432934,3.315000485545419,6318.942642097034,73.14698067841327,-32.57794976447226,0
Bharati,-30.726068409974935,61.66135360673774,63.914895883631495,976.4832519571241,-0.23370864057301768,20.0,61.89500860756557,-35.04236316244658,1
Maitri,-42.9375946838356,40.83718470203448,57.36786444755221,978.9507807174739,0.9331889699968084,8475.327387179124,95.88403601620824,-45.79619761297801,0
Maitri,-17.695412788216274,28.322057841552322,53.8043869954525,960.0414308348539,-1.0605640440279367,20.0,54.53735930201415,-19.677956837124935,1
Maitri,-32.041035103040855,54.69860048354884,71.39515167199153,950.4052830690919,-5.015260978780986,8773.279281063955,93.37528195537666,-35.86993713688928,0
Dakshin_Gangotri,-24.812588219084688,24.789212870911253,38.62205433755462,980.998846130148,4.122881145563268,4099.699038995327,72.31842389119716,-26.547833120048477,0
Maitri,-17.788800116411366,64.12827041623036,92.41229370675089,909.3918179820691,3.405320324435727,6347.628847582622,81.09303186865299,-22.27777904554749,0
Bharati,-18.30203235955084,19.07359058232972,37.37861493005117,977.9868636136838,-7.909335132288047,5900.37351359084,54.30125238669154,-19.63718370031392,0
Bharati,-15.019223365408207,4.777667583679089,27.973328146797193,961.1050478317787,0.9057300084630189,5407.4926680813105,70.36814653258469,-15.353660096265743,0
