cargo_id,t_index,temperature_c,target_temp_c,is_anomalous_series
CARGO-1000,0,-79.7867569086145,-80,0
CARGO-1000,1,-79.67366711551061,-80,0
CARGO-1000,2,-80.21607432274438,-80,0
CARGO-1000,3,-80.64365147717126,-80,0
CARGO-1000,4,-79.91097024221718,-80,0
CARGO-1000,5,-79.98375917789018,-80,0
CARGO-1000,6,-80.32435678926994,-80,0
CARGO-1000,7,-80.03728450964881,-80,0
CARGO-1000,8,-80.84132830688984,-80,0
CARGO-1000,9,-80.018275282154,-80,0
CARGO-1000,10,-80.07438185340955,-80,0
CARGO-1000,11,-79.61908363549243,-80,0
CARGO-1000,12,-79.94330774191187,-80,0
CARGO-1000,13,-79.98765284327533,-80,0
CARGO-1000,14,-79.4348923621649,-80,0
CARGO-1000,15,-80.26450758639729,-80,0
CARGO-1000,16,-80.46566598310133,-80,0
CARGO-1000,17,-79.74192995276229,-80,0
CARGO-1000,18,-79.70421436820726,-80,0
CARGO-1000,19,-79.69252719278181,-80,0
CARGO-1000,20,-80.08062878538153,-80,0
CARGO-1000,21,-80.2074143265739,-80,0
CARGO-1000,22,-80.3666836997003,-80,0
CARGO-1000,23,-80.25478641047295,-80,0
CARGO-1000,24,-80.44114767653825,-80,0
CARGO-1000,25,-80.12950384585481,-80,0
CARGO-1000,26,-79.49641659455823,-80,0
CARGO-1000,27,-80.16934218613797,-80,0
CARGO-1000,28,-79.95949955459946,-80,0
CARGO-1000,29,-79.84440907930701,-80,0
CARGO-1000,30,-80.12393386224122,-80,0
CARGO-1000,31,-80.13401076078382,-80,0
CARGO-1000,32,-79.63265449016397,-80,0
CARGO-1000,33,-79.97145434167548,-80,0
CARGO-1000,34,-79.68453458614734,-80,0
CARGO-1000,35,-79.31235256506011,-80,0
CARGO-1000,36,-80.29060211870149,-80,0
CARGO-1000,37,-80.08060439592239,-80,0
CARGO-1000,38,-80.06541584142948,-80,0
CARGO-1000,39,-80.17729123097745,-80,0
CARGO-1000,40,-80.1541591540745,-80,0
CARGO-1000,41,-79.60391001253922,-80,0
CARGO-1000,42,-80.00124393284311,-80,0
CARGO-1000,43,-79.28102127674585,-80,0
CARGO-1000,44,-80.1574404213978,-80,0
CARGO-1000,45,-79.59230883936605,-80,0
CARGO-1000,46,-79.52562028778934,-80,0
CARGO-1000,47,-80.07753486830968,-80,0
CARGO-1000,48,-79.92327689467915,-80,0
CARGO-1000,49,-79.79952605704668,-80,0
CARGO-1000,50,-80.22870513464966,-80,0
CARGO-1000,51,-79.5538929633811,-80,0
CARGO-1000,52,-80.30776257373395,-80,0
CARGO-1000,53,-80.21790789674904,-80,0
CARGO-1000,54,-80.21041722401029,-80,0
CARGO-1000,55,-79.97975419588572,-80,0
CARGO-1000,56,-79.9512957315781,-80,0
CARGO-1000,57,-80.22821017378283,-80,0
CARGO-1000,58,-80.06656405834289,-80,0
CARGO-1000,59,-80.38199816799182,-80,0
CARGO-1000,60,-79.69588659233452,-80,0
CARGO-1000,61,-79.8368883602729,-80,0
CARGO-1000,62,-80.14169740013617,-80,0
CARGO-1000,63,-80.08574150154551,-80,0
CARGO-1000,64,-80.23478920820786,-80,0
CARGO-1000,65,-80.30738256809622,-80,0
CARGO-1000,66,-80.35388061612237,-80,0
CARGO-1000,67,-80.31306791647845,-80,0
CARGO-1000,68,-79.73616374191572,-80,0
CARGO-1000,69,-79.71679654624562,-80,0
CARGO-1000,70,-80.43810175670548,-80,0
CARGO-1000,71,-79.81826302757439,-80,0
CARGO-1000,72,-80.39003918053854,-80,0
CARGO-1000,73,-79.78383078181254,-80,0
CARGO-1000,74,-79.9750930676598,-80,0
CARGO-1000,75,-80.14931440121127,-80,0
CARGO-1000,76,-79.87283454440426,-80,0
CARGO-1000,77,-79.59034789847561,-80,0
CARGO-1000,78,-80.55253869232277,-80,0
CARGO-1000,79,-79.63996204267993,-80,0
CARGO-1000,80,-80.22236161224232,-80,0
CARGO-1000,81,-79.55676466739355,-80,0
CARGO-1000,82,-79.71628951324695,-80,0
CARGO-1000,83,-80.296565299389,-80,0
CARGO-1000,84,-80.1332346915046,-80,0
CARGO-1000,85,-79.82448785655448,-80,0
CARGO-1000,86,-79.67976179092888,-80,0
CARGO-1000,87,-79.82249001874915,-80,0
